StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
ACT,318,Bean,93925,Belconnen BEAN PPVC,263,36.94,449,63.06,712,-2.92
ACT,318,Bean,93927,BLV Bean PPVC,0,0,0,0,0,-50
ACT,318,Bean,11877,Bonython,507,37.89,831,62.11,1338,0.62
ACT,318,Bean,11452,Calwell,794,42.06,1094,57.94,1888,1.95
ACT,318,Bean,8761,Chapman,804,36.4,1405,63.6,2209,-4.49
ACT,318,Bean,8763,Chisholm,625,43.65,807,56.35,1432,4.05
ACT,318,Bean,93916,City (Bean),26,28.26,66,71.74,92,-6.05
ACT,318,Bean,93922,City BEAN PPVC,878,36.49,1528,63.51,2406,-7.76
ACT,318,Bean,31298,Conder,866,42.12,1190,57.88,2056,3.44
ACT,318,Bean,83835,Conder North,431,46.05,505,53.95,936,6.98
ACT,318,Bean,82523,Coombs,749,35.68,1350,64.32,2099,-3.64
ACT,318,Bean,93906,Curtin (Bean),86,37.39,144,62.61,230,1.11
ACT,318,Bean,93932,Divisional Office (PREPOLL),33,44.59,41,55.41,74,44.59
ACT,318,Bean,8767,Duffy,493,28.75,1222,71.25,1715,-6.15
ACT,318,Bean,8768,Fadden,759,45.18,921,54.82,1680,-2.69
ACT,318,Bean,8769,Farrer,895,41.11,1282,58.89,2177,-3.66
ACT,318,Bean,93913,Garran (Bean),190,40.51,279,59.49,469,-2.87
ACT,318,Bean,8771,Gilmore,692,44.56,861,55.44,1553,2.22
ACT,318,Bean,12072,Gordon,1019,40.71,1484,59.29,2503,1
ACT,318,Bean,83837,Gordon North,275,51.69,257,48.31,532,12.59
ACT,318,Bean,8772,Gowrie,648,43.11,855,56.89,1503,2.25
ACT,318,Bean,97445,Greenway,538,42.43,730,57.57,1268,5.29
ACT,318,Bean,93929,Gungahlin BEAN PPVC,178,51.74,166,48.26,344,7.43
ACT,318,Bean,8773,Holder,661,40.11,987,59.89,1648,-1.77
ACT,318,Bean,93908,Hughes (Bean),92,43.19,121,56.81,213,3
ACT,318,Bean,8884,Isabella Plains,732,42.24,1001,57.76,1733,5.37
ACT,318,Bean,8776,Kambah North,542,38.12,880,61.88,1422,1.05
ACT,318,Bean,8777,Kambah South,638,34.56,1208,65.44,1846,0.11
ACT,318,Bean,8778,Kambah West,882,39.86,1331,60.14,2213,0.98
ACT,318,Bean,93909,Lyons (Bean),124,33.97,241,66.03,365,-2.79
ACT,318,Bean,8780,Mawson,683,37.8,1124,62.2,1807,-0.84
